Director,Actors
,"Paul Giamatti, Phil Amicone, Charlie Ott, Michael Zuckerman"
Fernando Coimbra,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill, Glen Powell"
Zackary Adler,"Olga Kurylenko, Gary Oldman, Amit Shah, Alicia Agneson"
,"Luc Schiltz, Sophie Mousel, Claude De Demo, Joe Dennenwald"
Jakub Piatek,"Bartosz Bielenia, Magdalena Poplawska, Andrzej Klak, Malgorzata Hajewska"
,"Russell Curry, Hunter Deno, Kainalu Moya, Tessa Rao"
Hiromasa Yonebayashi,"Amy Poehler, Will Arnett, Mirai Shida, Ryûnosuke Kamiki"
,"Ayako Kawasumi, Kari Wahlgren, Sayaka Ôhara, Jôji Nakata"
,"LaKeith Stanfield, Maya Tanida, William Christopher Stephens, Darren Criss"
,"Rebecca Coco Edogamhe, Ludovico Tersigni, Amanda Campana, Andrea Lattanzi"
Karthik Subbaraj,"Dhanush, James Cosmo, Aishwarya Lekshmi, Joju George"
,"Jun'ichi Suwabe, Eri Kitamura, Nobuyuki Hiyama, Hitomi Harada"
,"Jay Baruchel, America Ferrera, Zack Pearlman, Christopher Mintz-Plasse"
Michael Showalter,"Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp"
Michael M. Scott,"Nick Purcha, Carlos Joe Costa, Camila Mendes, Briana Skye"
,"Jack Casady, Ludwig Göransson, Hozier, Alex James"
,"Ed Westwick, James Buckley, Joe Thomas, Linzey Cocker"
David Fincher,Michael Fassbender
Fumihiko Sori,"Ryôsuke Yamada, Tsubasa Honda, Dean Fujioka, Ryûta Satô"
Matthew Michael Carnahan,"Waleed Elgadi, Hayat Kamille, Thaer Al-Shayei, Suhail Dabbach"
Lydia Dean Pilcher Ginny Mohler,"Joey King, Abby Quinn, Cara Seymour, Scott Shepherd"
,"Kevin James, Jillian Mueller, Freddie Stroma, Gary Anthony Williams"
,"Eli Gabay, Eli Rosenbaum, Michael Shaked, Yoram Sheftel"
Scott Speer,"Kathryn McCormick, Ryan Guzman, Cleopatra Coleman, Misha Gabriel Hamilton"
,"Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon"
,"Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou"
Chris Baugh,"Nigel O'Neill, Susan Lynch, Józef Pawlowski, Stuart Graham"
Jeremiah Zagar,"Adam Sandler, Ben Foster, Robert Duvall, Queen Latifah"
,"Kim Sang-kyung, Na-ra Oh, Tang Joon-sang, Sang-Yeon Son"
Colm McCarthy,"Sennia Nanua, Fisayo Akinade, Dominique Tipper, Paddy Considine"
,"Amir Wilson, Ruby Ashbourne Serkis, Thaddea Graham, Islam Bouakkaz"
,"Öykü Karayel, Fatih Artman, Funda Eryigit, Defne Kayalar"
,"Katie Gray, Crispin Freeman, Victoria Harwood, Ralph Lister"
,"Megumi Toyoguchi, Daisuke Namikawa, Maryke Hendrikse, Brad Swaile"
Hayao Miyazaki,"Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura Vi, Tsunehiko Kamijô"
,"Tyler Posey, Charlet Takahashi Chung, Jorge Diaz, Luke Youngblood"
,"Ma Anand Sheela, Osho, Philip Toelkes, Jane Stork"
,"RuPaul, Izzy G., Michael-Leon Wooley, Josh Segarra"
Charlie McDowell,"Robert Redford, Mary Steenburgen, Brian McCarthy, Jason Segel"
,"Adam Pålsson, Yasen Atour, Leanne Best, Richard Dillane"
,"Lee Hana, Eun-seo Son, Song Boo-gun, Kim Joong-Ki"
Colin Minihan,"Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein"
Jean-Stéphane Sauvaire,"Joe Cole, Cherry Miko, Vithaya Pansringarm, Panya Yimmumphai"
,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Itou"
,"Rahul Abburi, Crystal Balint, Matt Biedel, Annarah Cymone"
David Pastor Àlex Pastor,"Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz"
,David Attenborough
,"Minami Takayama, Megumi Hayashibara, Yôko Hikasa, Katsuyuki Konishi"
,"John Cho, Alex Hassell, Daniella Pineda, Elena Satine"
Federico D'Alessandro,"Maika Monroe, Ed Skrein, Gary Oldman, Fiston Barek"
,"Masaaki Mizunaka, Yû Serizawa, Azumi Waki, Jad Saxton"
,"Jonah Hauer-King, Julia Brown, Helen Hunt, Sean Bean"
Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel"
Carles Torras,"Mario Casas, Déborah François, Guillermo Pfening, Maria Rodríguez Soto"
,"Tara Strong, Nicole Sullivan, Myrna Velasco, Kimberly Brooks"
Jenny Popplewell,"Nickole Atkinson, Jim Benemann, Luke Epple, Mark Jamieson"
,"Lydia Wilson, James Frecheville, Sian Reese-Williams, Brendan Coyle"
,"Antoinette Robertson, Logan Browning, Brandon P Bell, DeRon Horton"
Cody Cameron Kris Pearn,"Bill Hader, Anna Faris, Will Forte, Neil Patrick Harris"
Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi"
Peter Hutchings,"Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong"
,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle"
,"Paula Patton, Devon Sawa, Aria Birch, Catherine Barroll"
,"Tricia Helfer, Gil Bellows, Brian Van Holt, Andrea Roth"
Olivier Assayas,"Penélope Cruz, Edgar Ramírez, Gael García Bernal, Ana de Armas"
,"Lee Dong-Wook, Jo Bo-ah, Kim Bum, Kim Yong Ji"
Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes"
Ryuichi Hiroki,"Kiko Mizuhara, Honami Satô, Shinya Niiro, Shunsuke Tanaka"
,"Aurora Gil, Oscar Priego, Jorge Zárate, Michel Duval"
Antoine Fuqua,"Jake Gyllenhaal, Riley Keough, Ethan Hawke, Peter Sarsgaard"
,"William Brent, Spencer Boldman, Kelli Berglund, Tyrel Jackson Williams"
Olivier Megaton,"Neels Clasen, Edgar Ramírez, Tony Caprari, Kate Normington"
,"Jun Ji-hyun, Kim Soo-hyun, Park Hae-Jin, Yoo In-Na"
Alexandre Aja,"Kiefer Sutherland, Paula Patton, Amy Smart, Cameron Boyce"
Wash Westmoreland,"Alicia Vikander, Kiki Sukezane, Kenichi Masuda, Chiaki Kawamo"
Jamie Babbit,"Drew Barrymore, Sarah Jes Austell, Michael Zegen, T.J. Miller"
,"Paulina Andreeva, Kirill Käro, Aleksandr Ustyugov, Olga Lomonosova"
,"Hiroshi Kamiya, Maaya Uchida, Yûki Kaji, Bryn Apprill"
Leigh Janiak,"Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown"
Joe Lynch,"Frank Grillo, Stuart F. Wilson, Buster Reeves, Christian Cooke"
Orson Welles,"Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia"
Matthew Warchus,"Emma Thompson, Stephen Graham, Andrea Riseborough, Lashana Lynch"
Michael Fimognari,"Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart"
Rupert Goold,"James Franco, Jonah Hill, Felicity Jones, Maria Dizzia"
,"Rafe Spall, Anne-Marie Duff, Judah Cousin, Annabel Scholey"
,"Wataru Takagi, Reina Kondou, Ken'yû Horiuchi, Yoshimasa Hosoya"
,"Georgina Elizabeth Okon, Ryan Cargill, Carl Malapa, Némo Schiffman"
Klay Hall,"Carlos Alazraqui, Dane Cook, Stacy Keach, Brad Garrett"
,"Ami Koshimizu, Aya Suzaki, Toshihiko Seki, Shin'ichirô Miki"
Laura Terruso,"Keiynan Lonsdale, Liza Koshy, Briana Andrade-Gomes, Kalliane Brémault"
Michael Duggan,"Eli Brown, Madison Iseman, Marcus Scribner, Karan Brar"
,"Myung-Min Kim, Kim Bum, Hye-young Ryu, Lee Jeong-eun"
Julien Leclercq,"Olga Kurylenko, Marilyn Lima, Michel Nabokoff, Martin Swabey"
Eli Craig,"Evangeline Lilly, Owen Atlas, Adam Scott, Marcus Terrell Smith"
,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler"
,"Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima"
,"Yuichiro Umehara, Yui Ogura, Hayden Daviau, Brad Hawkins"
Amy Poehler,"Amy Poehler, Rachel Dratch, Ana Gasteyer, Maya Rudolph"
,"Lee Jehoon, Kim Hye-su, Cho Jin-woong, Hyun-Sung Jang"
Banjong Pisanthanakun Parkpoom Wongpoom,"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool"
,"Jun Ji-hyun, Lee Min-Ho, Lee Hee-joon, Shin Won Ho"
,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Regina Pavón"
,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou"
Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps"
,"Cristina Valenzuela, Yume Miyamoto, Shoya Ishige, Yôhei Azakami"
Patrick Brice,"Karan Soni, Mark Duplass, Desiree Akhavan, Kyle Field"
,"Son Ye-jin, Jung Hae-In, Joo Min-Kyung, Kim Chang-wan"
James Simone Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima"
Charlie McDowell,"Mark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason"
Jason Cabell,"Nicolas Cage, Laurence Fishburne, Leslie Bibb, Cole Hauser"
,"Michelle Buteau, Jack Atkins, Deleesa Carrasquillo, Courtney Revolution"
Victor Salva,"Stan Shaw, Gabrielle Haugh, Brandon Smith, Meg Foster"
,"Demet Evgar, Ceren Moray, Nursel Köse, Çagdas Onur Öztürk"
,"Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson"
,"Freddy Carter, Jaylen Barron, Manpreet Bambra, Celine Buckens"
,"Amaia Salamanca, Álex García, Verónica Sánchez, Álex Gadea"
Walter Hill,"Jason Patric, Gene Hackman, Robert Duvall, Wes Studi"
Oren Uziel,"Benjamin Walker, Rainn Wilson, Stephanie Sigman, John Michael Higgins"
Paolo Sorrentino,"Filippo Scotti, Toni Servillo, Teresa Saponangelo, Marlon Joubert"
Babak Anvari,"Armie Hammer, Zazie Beetz, Karl Glusman, Christin Rankins"
James Gray,"Marion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk"
Aleksandr Chernyaev,"Jonathan Rhys Meyers, Francesca Eastwood, William Forsythe, Malik Yoba"
,"Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Billy Breed"
,"Raquel Cassidy, Jenny Richardson, Clare Higgins, Dagny Rollins"
,"Ahn Bo-Hyun, Park Jin-Joo, Bo-ra Kim, Jung Je-Won"
James Marsh,"Colin Firth, Eleanor Stagg, Rachel Weisz, Zara Prassinot"
Trish Sie,"Ryan Guzman, Briana Evigan, Adam Sevani, Misha Gabriel Hamilton"
William Bindley,"K.J. Apa, Maia Mitchell, Norman Johnson Jr., Jacob Latimore"
,"Samuel Labarthe, Suzanne Clément, Alexia Barlier, Frédéric Diefenthal"
Tony Bancroft Scott Christian Sava Jaime Maestro,"Emily Blunt, Danny DeVito, John Krasinski, Ian McKellen"
,"Gideon Adlon, Calum Worthy, Erica Lindbeck, Victoria Grace"
,"Karen Fukuhara, Sydney Mikayla, Dee Bradley Baker, Deon Cole"
,"Mike Epps, Kim Fields, Diamond Lyons, Wanda Sykes"
Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Maria Grazia Di Meo"
Michael Tiddes,"Marlon Wayans, Regina Hall, Dennis Haysbert, J.T. Jackson"
Luke Snellin,"Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson"
,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha"
,"Friederike Becht, Natalia Belitski, Oskar Belton, Leon Lukas Blaschke"
,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard"
Martin Prakkat,"Kunchacko Boban, Joju George, Nimisha Sajayan, Jaffer Idukki"
,"Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Scott Aukerman"
Steven C. Miller,"Bruce Willis, Christopher Meloni, Dave Bautista, Adrian Grenier"
,"Grzegorz Damiecki, Agnieszka Grochowska, Hubert Milkowski, Wiktoria Filus"
,"Ji Chang-Wook, Song Yun-ah, Im Yoon-ah, Jo Sung-ha"
,"Ariel Mortman, Finn Roberts, Chris O'Neal, Dallas Hart"
Scott Speer,"Bella Thorne, Richard Harmon, Dermot Mulroney, Amy Price-Francis"
Hiroyuki Morita,"Chizuru Ikewaki, Yoshihiko Hakamada, Aki Maeda, Takayuki Yamada"
David Pablos,"Alfonso Herrera, Emiliano Zurita, Mabel Cadena, Fernando Becerril"
Hugo Gélin,"Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters"
Pat Healy,"Pat Healy, Taylor Schilling, Alycia Delmore, Jim O'Heir"
,"Dylan Wang, Shen Yue, Caesar Wu, Darren Chen"
,"Ahmed Amin, Reem Abd El Kader, Samma Ibrahim, Razane Jammal"
Jonathan Helpert,"Margaret Qualley, Anthony Mackie, Danny Huston, Tom Payne"
,"Matt Dallas, Marguerite MacIntyre, Bruce Thomas, April Matson"
Jun'ichi Satô Tomotaka Shibayama,"Mirai Shida, Natsuki Hanae, Johnny Yong Bosch, Bob Buchholz"
,"Mark Ryder, Isolda Dychauk, Diarmuid Noyes, John Doman"
Jean-Pierre Jeunet,"Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon"
,"Bae Suzy, Lee Jong-Suk, Jung Hae-In, Lee Sang-Yeob"
Gorô Miyazaki,"Sarah Bolger, Chris Noth, Anton Yelchin, Christina Hendricks"
Stephen Daldry,"Thomas Horn, Tom Hanks, Sandra Bullock, Max von Sydow"
Catherine Hardwicke,"Amanda Seyfried, Lukas Haas, Gary Oldman, Billy Burke"
,"Josh Grelle, Brina Palencia, Leah Clark, Emily Neves"
,"Yuri Lowenthal, Kana Asumi, Steve Blum, Johnny Yong Bosch"
,"Joel Hodgson, Michael J. Nelson, Trace Beaulieu, Kevin Murphy"
Saul Dibb,"Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon"
,"Sebastián Rulli, Renata Notni, Manuel Balbi, Cassandra Sanchez Navarro"
Neeraj Ghaywan Kayoze Irani Shashank Khaitan Raj Mehta,"Fatima Sana Shaikh, Jaideep Ahlawat, Nushrat Bharucha, Abhishek Banerjee"
,"Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams"
,"John Reinke, Kelci Saffery, John Finlay, Rick Kirkham"
,"Burcu Biricik, Mehmet Yilmaz Ak, Sehsuvar Aktas, Hazal Türesan"
Oz Rodriguez,"Jaden Michael, Gerald Jones III, Gregory Diaz IV, Sarah Gadon"
Jim Sheridan,"50 Cent, Joy Bryant, Adewale Akinnuoye-Agbaje, Omar Benson Miller"
,"Mille Dinesen, Lise Baastrup, Nikolaj Groth, Carsten Bjørnlund"
David Palmer Dax Shepard,"Dax Shepard, Kristen Bell, Bradley Cooper, Kristin Chenoweth"
,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali"
Umesh Bist,"Sanya Malhotra, Sayani Gupta, Sheeba Chaddha, Ashutosh Rana"
Ribhu Dasgupta,"Aditi Rao Hydari, Kirti Kulhari, Parineeti Chopra, Hiten Patel"
,"Pistol Black, Myrtle Carter, Jane Green, Teruo Konno"
Thierry Demaizière Alban Teurlai,"Rocco Siffredi, Anikka Albrite, Veronica Avluv, Eva Berger"
Miguel Arteta,"Alia Shawkat, Drew Langer, Marc Maron, Mark Duplass"
Frant Gwo,"Jing Wu, Chuxiao Qu, Guangjie Li, Man-Tat Ng"
Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham"
Gerard Barrett,"Chloë Grace Moretz, Thomas Mann, Richard Armitage, Carrie-Anne Moss"
,"Toby Stephens, Ronny Jhutti, Roger Griffiths, Miranda Raison"
,"Toni Collette, Steven Mackintosh, Joe Hurst, Emma D'Arcy"
Aleksey Tsitsilin,"Nicholas Corda, Sylvana Joyce, Alyson Leigh Rosenfeld, Courtney Shaw"
Aleksey Sidorov,"Alexander Petrov, Irina Starshenbaum, Viktor Dobronravov, Vinzenz Kiefer"
,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski"
,"Allan Hawco, Krystin Pellerin, Mark O'Brien, Marthe Bernard"
,"Sun-kyun Lee, Ji-eun Lee, Ji-Ah Lee, Park Ho-San"
Betty Thomas,"Jason Lee, Zachary Levi, David Cross, Justin Long"
,"Dominic C. Skinner, Val Garland, Maya Jama, Stacey Dooley"
Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphael Romand"
,"Rachael Stirling, Julie Graham, Sophie Rundle, Anna Maxwell Martin"
,"Celeste Dring, Louise Ford, Hugh Skinner, Ellie White"
,"Cecilia Suárez, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández"
Uwe Boll,"Jason Statham, Ron Perlman, Ray Liotta, Leelee Sobieski"
Helena Bergström,"Molly Nutley, Fredrik Quinones, Rakel Wärmländer, Christopher Wollter"
Blake Harris Chris Bouchard,"William Moseley, Poppy Drayton, Loreto Peralta, Armando Gutierrez"
,"Josh Keaton, Lacey Chabert, Joshua LeBar, Grey Griffin"
,"Derek Jacobi, James Oliver Wheatley, Sam Callis, Tom Padley"
,"Kim So-Hyun, Song Kang, Ga-ram Jung, Go Min-Si"
Don Michael Paul,"Chad Michael Collins, Billy Zane, Dennis Haysbert, Nick Gomez"
,"Lee Dong-Wook, Sang-woo Lee, Sung Yoon Son, Oh Jeong-Se"
Catherine Hardwicke,"Gina Rodriguez, Thomas Dekker, Vivian Chan, Barbarella Pardo"
Don Coscarelli,"Chase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown"
,"Kaiji Tang, Michael C. Pizzuto, Keith Silverstein, Erika Harlacher"
Rebecca Hall,"Tessa Thompson, Ruth Negga, André Holland, Bill Camp"
David Barrett,"Josh Duhamel, Bruce Willis, Rosario Dawson, Vincent D'Onofrio"
,"Ha Ji-Won, Hye-Rin Han, Ju Jin-Mo, Ji Chang-Wook"
,"Siena Agudong, Lauren Lindsey Donzis, Kalama Epstein, Sean Astin"
LP,"Nasim Pedrad, Anna Camp, Lamorne Morris, Sarah Burns"
Alessandra de Rossi,"Alessandra de Rossi, Piolo Pascual"
Robert Smigel,"Adam Sandler, Chris Rock, Steve Buscemi, Rachel Dratch"
Howard Hawks Richard Rosson,"Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins"
,"Jason Day, Margarita Rosa de Francisco, Carlos Ponce, Laura Perico"
Gregg Champion,"Regina King, Imani Hakim, Sydney Mikayla, Brian Tee"
Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Woody Harrelson, Michiel Huisman, Tadanobu Asano"
Alex Richanbach,"Gwen Elizabeth Duchon, Gillian Jacobs, Michaela Watkins, Phoebe Robinson"
,"Kelsey Grammer, Connie Nielsen, Hannah Ware, Jeff Hephner"
Fabrice du Welz,"Chadwick Boseman, Luke Evans, Alfred Molina, Teresa Palmer"
Brian A. Miller,"Jason Patric, Bruce Willis, John Cusack, Jessica Lowndes"
Hèctor Hernández Vicens,"Sophie Skelton, Johnathon Schaech, Jeff Gum, Marcus Vanco"
,"Adam Fedyk, Masakazu Morita, Jun Fukuyama, Akio Kato"
Sara Colangelo,"Maggie Gyllenhaal, Gael García Bernal, Ato Blankson-Wood, Libya Pugh"
Tyler Spindel,"David Spade, Nat Faxon, Joey Bragg, Matt Shively"
,"Han Hyo-joo, Lee Jong-Suk, Jeong Eu-Gene, Eui-sung Kim"
Tyler Shields,"Abigail Breslin, Wes Bentley, Logan Huffman, Alexander Ludwig"
Bharat Nalluri,"Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman"
Tània Balló,
,"David Cross, Bob Odenkirk, John Ennis, Jay Johnston"
Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden"
Travon Free Martin Desmond Roe,"Joey Bada$$, Andrew Howard, Zaria, Mona Sishodia"
Stefon Bristol,"Eden Duncan-Smith, Dante Crichlow, Astro, Marsha Stephanie Blake"
Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell"
Samuel Armstrong Norman Ferguson Wilfred Jackson Jack Kinney Bill Roberts Ben Sharpsteen John Elliotte,"Sterling Holloway, Edward Brophy, Herman Bing, Mel Blanc"
,"Pablo Lyle, Ana Layevska, Pamela Almanza, Sebastián Ferrat"
,"Lance Reddick, Siena Agudong, Ella Balinska, Rizelle Januk"
,"Itzan Escamilla, Ester Expósito, Carlota Casado, Ion Iraizoz"
,"Miyu Irino, Micah Solusod, Saori Hayami, Nobuhiko Okamoto"
,"Aneurin Barnard, Miguel Bernardeau, Jonas Bloquet, Rosalie Craig"
Mark Osborne,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard"
,
Ed Perkins,"Andrew Caley, Alex Lewis, Marcus Lewis, Evan Milton"
,"Atsushi Abe, Natsumi Takamori, Tomoaki Maeno, Greg Ayres"
,"Ewen Leslie, Jessica De Gouw, James Cromwell, Tony Martin"
Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan"
,"Chloé Lambert, Philippe Dusseau, Blanche Veisberg, Eric Savin"
,"Wolf Williams, Alan Lee, Aaron Phillips, Kausar Mohammed"
Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden"
Steven Brill,"Adam Sandler, Jennifer Hudson, Kevin James, Colin Quinn"
Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav, Padmavati Rao"
,"Manolo Cortés, María Mera, Toni Salgado, Miquel Insua"
Theodore Melfi,"Timothy Olyphant, Melissa McCarthy, Veronica Falcón, Skyler Gisondo"
James McTeigue,"Milla Jovovich, Pierce Brosnan, Dylan McDermott, Paddy Wallace"
,"Tom Colicchio, Padma Lakshmi, Gail Simmons, Richard Blais"
F. Gary Gray,"Vin Diesel, Timothy Olyphant, Larenz Tate, Geno Silva"
,"Andrzej Konopka, Helena Sujecka, Jen Fiskum, Magdalena Zak"
Hernan Jimenez,"Darren Barnet, Rebecca Staab, Nina Dobrev, Mikaela Hoover"
,"Erik Scott Kimerer, Max Mittelman, Sarah Anne Williams, Hiroaki Iwanaga"
Carlo Carlei,"Hailee Steinfeld, Douglas Booth, Damian Lewis, Laura Morante"
Gil Junger,"Megan Fox, Josh Duhamel, Gabriel Bateman, Kunal Nayyar"
Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison"
Brent Bonacorso,"Bella Thorne, Halston Sage, Taylor John Smith, Nash Grier"
Demián Rugna,"Maximiliano Ghione, Norberto Gonzalo, Elvira Onetto, George L. Lewis"
Bobby Roth,"Rockmond Dunbar, Zhu Zhu, Shen Lin, Robert Knepper"
,"Danica Curcic, Lars Brygmann, Karoline Hamm, Hanne Hedelund"
Sergei Bodrov,"Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun"
,"Woo Jung, Yeon-Seo Oh, Lee Hye-Ra, Su-Hyun Lee"
,"James Purefoy, Michael Kenneth Williams, Tiffany Mack, Cranston Johnson"
Paul Solet,"Adrien Brody, Antonio Banderas, John Malkovich, Rory Culkin"
Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem"
,"Molly C. Quinn, Keke Palmer, Matt Shively, Amy Gross"
,"Millie Davis, Sean Michael Kyer, Dalila Bela, Filip Geljo"
,"Michaela Coel, Danielle Walters, Robert Lonsdale, Shola Adewusi"
Carrie Cracknell,"Henry Golding, Richard E. Grant, Dakota Johnson, Suki Waterhouse"
,"Will Smith, Joel Edgerton"
,"Peter Stormare, Johan Glans, Vivian Bang, Felisha Cooper"
,"Mela Lee, Bryce Papenbrook, Noriaki Sugiyama, Kana Ueda"
Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ"
Hasraf Dulull,"Jane Perry, Nigel Barber, Noeleen Comiskey, Ezra Faroque Khan"
,
Bryce Wagoner,"Lisa Ann, Georgina Spelvin, Darren James, Ginger Lynn"
Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo"
,"Nozomu Sasaki, Justin Cook, Christopher Sabat, Cynthia Cranz"
,"Kate del Castillo, Leah Allers, Eréndira Ibarra, Alberto Guerra"
,"Kathy Bates, Aaron Moten, Elizabeth Alderfer, Tone Bell"
Charles Francis Kinnane Daniel Kinnane,"Taylor Lautner, Jackie Sandler, Kevin James, Rob Schneider"
,"J. Michael Tatum, Monica Rial, Tyson Rinehart, Cherami Leigh"
David Sandberg,"David Sandberg, Jorma Taccone, Steven Chew, Leopold Nilsson"
Rawson Marshall Thurber,"Jake Gyllenhaal, Jessica Chastain"
,"Jennette McCurdy, Jesse Carere, Justin Kelly, Kyle Mac"
Yasushi Kawamura Kei'ichi Sato,"Daisuke Ono, Mao Ichimichi, Tomohiro Kaku, Saori Hayami"
M.J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn"
Zoya Akhtar Dibakar Banerjee Karan Johar Anurag Kashyap,"Janhvi Kapoor, Surekha Sikri, Amruta Subhash, Vijay Varma"
Mike Barker,"Connie Britton, Mila Kunis, Chiara Aurelia, Justine Lupe"
,"Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks"
,"Robert Jack, Susanna Herbert, Ben Cartwright, Oliver Dimsdale"
Chris Nelson,"Noah Centineo, Laura Marano, Odiseas Georgiadis, Camila Mendes"
Greg Barker,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Bradley Whitford"
Jingming Guo,"Mark Chao, Allen Deng, Ziwen Wang, Jessie Li"
,"Jerry Seinfeld, Michael Richards, Mario Joyner, Jimmy Fallon"
,"Gemma Hoskins, Abbie Schaub, Virginia Anzengruber, Jean Hargadon Wehner"
,"Adriana Ugarte, Eduardo Noriega, Marc Martínez, Pep Ambròs"
,"Kenjirô Tsuda, Shizuka Itô, Kazuyuki Okitsu, Melissa Greenspan"
,"Ben Chaplin, Charlotte Riley, Nora von Waldstätten, Oliver Jackson-Cohen"
,"Joanna Vanderham, Emun Elliott, Stephen Wight, Sonya Cassidy"
Matt Angel Suzanne Coote,"Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins"
,"Lee Song-Kyoung, Nam Joo-Hyuk, Jae-yoon Lee, Hye-Jung Cho"
Woo-Ping Yuen,"Donnie Yen, Michelle Yeoh, Harry Shum Jr., Natasha Liu Bordizzo"
Brett Haley,"Auli'i Cravalho, Rhenzy Feliz, Justina Machado, Judy Reyes"
Wilson Yip,"Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson"
Takashi Miike,"Takuya Kimura, Hana Sugisaki, Sôta Fukushi, Hayato Ichihara"
,"Rob Delaney, Dan Frigolette, Belindah Chaka, Sara Rosenberg"
,"Evan Peters, Karen Malina White, David Barrera, Shaun J. Brown"
Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons"
,
,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore"
Isao Takahata,"Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka"
Angelina Jolie,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata, Mun Kimhak"
,"James Rhine, Lena Anderson, James Bartholet, Lily Cade"
Antonin Baudry,"François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb"
,"Kim Dong-Hee, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su"
